inventor_id,name,country
fl:be_ln:bierbaumer-1,Benjamin Bierbaumer,
fl:ja_ln:lindenauer-1,Jay Lindenauer,
fl:zh_ln:shi-37,Zhifeng SHI,
fl:jo_ln:kramer-17,Joachim Ernst Kramer,
fl:yo_ln:kim-627,Youn Tae Kim,
fl:ta_ln:li-34,Tat Wah Li,
fl:pa_ln:bertics-1,Paul J. Bertics,
fl:ju_ln:kwon-38,Jun Seok Kwon,KR
fl:ti_ln:ji-7,Tingfang Ji,US
fl:iv_ln:lobatohoyos-1,Ivan Pedro Lobato Hoyos,
fl:hi_ln:inoue-62,Hiroshi Inoue,JP
fl:mu_ln:sawada-3,Munenori Sawada,
fl:ke_ln:stockmeier-2,Kevin C. Stockmeier,
fl:ur_ln:sonnewald-1,Ursula Sonnewald,
fl:sh_ln:siddiqui-14,Shahab Siddiqui,
fl:ra_ln:kumar-94,Ravinder Kumar,
fl:je_ln:satterfield-2,Jesse Clay Satterfield,
fl:li_ln:wang-449,Lifeng Wang,
fl:pi_ln:furman-1,Piotr Furman,PL
fl:vi_ln:nagarajan-1,Viswanath Nagarajan,US
fl:bo_ln:zapletal-1,Bohumila Zapletal,
fl:ko_ln:in-1,Kouichi In,
fl:mi_ln:gifford-5,Michael F. Gifford,US
fl:ja_ln:thompson-32,James M. Thompson,
fl:ta_ln:katoh-25,Takao Katoh,
fl:pe_ln:andrews-5,Peter Scott Andrews,US
fl:se_ln:otsubo-1,Seiichi Otsubo,
fl:fa_ln:beteille-1,Fabien Beteille,FR
fl:jo_ln:mcmichael-6,Jonathan R. McMichael,
fl:ja_ln:chein-1,Jason Shih Shen Chein,
fl:ja_ln:boggs-2,Janet Boggs,
fl:je_ln:merino-1,Jean-Francois Merino,
fl:to_ln:matsuda-38,Toru Matsuda,
fl:ma_ln:tanaka-91,Masahide Tanaka,
fl:wi_ln:starke-3,William J. Starke,US
fl:mi_ln:chih-2,Ming-Hui Chih,
fl:st_ln:sunshine-3,Steven A. Sunshine,US
fl:ji_ln:cho-16,Jin Kyeom Cho,
fl:jo_ln:ketchum-2,John W. Ketchum,US
fl:sh_ln:lin-405,Shu-Hung Lin,
fl:wi_ln:loxsom-1,William Loxsom,US
fl:ts_ln:yu-50,Tsung-Hsin Yu,
fl:la_ln:ames-1,Lawrence L. Ames,US
fl:ma_ln:hayakawa-11,Masahiko Hayakawa,
fl:ge_ln:steiniger-1,Gerhard Steiniger,
fl:vi_ln:chandrasekaran-2,Vinodh Chandrasekaran,
fl:st_ln:burstrom-1,Stefan Burström,
fl:pa_ln:burrows-2,Paul E. Burrows,
fl:li_ln:du-30,Liang Du,
fl:mi_ln:mennicken-1,Michael Mennicken,DE
fl:ji_ln:clayton-2,Jimmy L. Clayton,
fl:mi_ln:kim-311,Minji Kim,
fl:an_ln:roy-16,Anirban Roy,US
fl:dr_ln:jeremic-1,Dragan Jeremic,
fl:ma_ln:rossetti-3,Massimiliano Rossetti,IT
fl:mi_ln:lin-81,Ming-Sheng Lin,
fl:al_ln:finn-1,Alan Matthew Finn,US
